Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Schmincke,017D,4.72YR 5.37/8.26,4.72YR,4.72,YR,14.72,5.37,8.26
Girault,371,1.08Y 7.79/8.26,1.08Y,1.08,Y,21.08,7.79,8.26
Sennelier,764,0.67G 8.11/8.26,0.67G,0.67,G,40.67,8.11,8.26
Unison,BG8,5.08B 4.95/8.27,5.08B,5.08,B,65.08,4.95,8.27
Blue Earth,L6A,5.23Y 7.75/8.27,5.23Y,5.23,Y,25.23,7.75,8.27
Rembrandt,"411,5",0.56YR 4.58/8.28,0.56YR,0.56,YR,10.56,4.58,8.28
Girault,68,1.46YR 5.09/8.29,1.46YR,1.46,YR,11.46,5.09,8.29
Schmincke,052O,2.70P 5.79/8.30,2.70P,2.70,P,82.70,5.79,8.30
Sennelier,230,4.92GY 6.13/8.31,4.92GY,4.92,GY,34.92,6.13,8.31
Great American,860.3,4.63RP 6.92/8.31,4.63RP,4.63,RP,94.63,6.92,8.31
Mount Vision,120,5.83GY 7.23/8.31,5.83GY,5.83,GY,35.83,7.23,8.31
Sennelier,291,2.48PB 4.32/8.32,2.48PB,2.48,PB,72.48,4.32,8.32
Unison,G33,3.04GY 6.14/8.32,3.04GY,3.04,GY,33.04,6.14,8.32
Mount Vision,552,9.26Y 9.36/8.33,9.26Y,9.26,Y,29.26,9.36,8.33
Schmincke,065D,7.01B 5.41/8.34,7.01B,7.01,B,67.01,5.41,8.34
Sennelier,731,1.26B 6.74/8.34,1.26B,1.26,B,61.26,6.74,8.34
Girault,67,1.31YR 4.50/8.35,1.31YR,1.31,YR,11.31,4.50,8.35
Unison,RE9,0.10YR 6.05/8.37,0.10YR,0.10,YR,10.10,6.05,8.37
Sennelier,393,5.93PB 6.56/8.38,5.93PB,5.93,PB,75.93,6.56,8.38
Sennelier,289,4.21PB 2.88/8.42,4.21PB,4.21,PB,74.21,2.88,8.42
Unison,G26,7.84GY 5.43/8.42,7.84GY,7.84,GY,37.84,5.43,8.42
Sennelier,5,1.72YR 3.50/8.43,1.72YR,1.72,YR,11.72,3.50,8.43
Schmincke,052M,3.41P 4.93/8.43,3.41P,3.41,P,83.41,4.93,8.43
Unison,A18,4.90R 5.63/8.43,4.90R,4.90,R,4.90,5.63,8.43
Rembrandt,"331,8",9.24RP 6.73/8.44,9.24RP,9.24,RP,99.24,6.73,8.44
Great American,590.4,0.41YR 7.77/8.44,0.41YR,0.41,YR,10.41,7.77,8.44
Sennelier,40,7.54YR 8.04/8.44,7.54YR,7.54,YR,17.54,8.04,8.44
Schmincke,016D,6.20YR 6.12/8.45,6.20YR,6.20,YR,16.20,6.12,8.45
Girault,386,9.97RP 6.79/8.45,9.97RP,9.97,RP,99.97,6.79,8.45
Sennelier,803,6.45Y 8.69/8.45,6.45Y,6.45,Y,26.45,8.69,8.45
Great American,145.1,1.07Y 7.33/8.46,1.07Y,1.07,Y,21.07,7.33,8.46
Blue Earth,Y6B,1.79Y 7.36/8.47,1.79Y,1.79,Y,21.79,7.36,8.47
Mount Vision,382,7.41RP 6.97/8.48,7.41RP,7.41,RP,97.41,6.97,8.48
Schmincke,014H,1.11Y 7.44/8.48,1.11Y,1.11,Y,21.11,7.44,8.48
Rembrandt,"236,3",8.09YR 5.53/8.49,8.09YR,8.09,YR,18.09,5.53,8.49
Unison,R11,5.60R 6.83/8.49,5.60R,5.60,R,5.60,6.83,8.49
Sennelier,288,3.96PB 2.96/8.51,3.96PB,3.96,PB,73.96,2.96,8.51
Sennelier,685,4.74R 6.38/8.51,4.74R,4.74,R,4.74,6.38,8.51
Girault,55,0.64R 6.79/8.51,0.64R,0.64,R,0.64,6.79,8.51
Rembrandt,"411,7",2.34YR 5.58/8.53,2.34YR,2.34,YR,12.34,5.58,8.53
Great American,565.0,4.54GY 7.78/8.53,4.54GY,4.54,GY,34.54,7.78,8.53
Girault,112,6.18YR 5.84/8.54,6.18YR,6.18,YR,16.18,5.84,8.54
Sennelier,290,4.27PB 3.01/8.55,4.27PB,4.27,PB,74.27,3.01,8.55
Sennelier,203,5.79GY 5.78/8.56,5.79GY,5.79,GY,35.79,5.78,8.56
Sennelier,262,8.98B 6.29/8.56,8.98B,8.98,B,68.98,6.29,8.56
Great American,340.2,6.22PB 5.90/8.57,6.22PB,6.22,PB,76.22,5.90,8.57
Great American,100.0,0.05YR 4.33/8.59,0.05YR,0.05,YR,10.05,4.33,8.59
Great American,390.2,0.02YR 6.00/8.59,0.02YR,0.02,YR,10.02,6.00,8.59
Schmincke,045O,3.92RP 7.15/8.59,3.92RP,3.92,RP,93.92,7.15,8.59
Unison,A10,7.59Y 9.06/8.59,7.59Y,7.59,Y,27.59,9.06,8.59
Great American,370.1,5.81R 4.58/8.60,5.81R,5.81,R,5.81,4.58,8.60
Great American,100.1,8.22R 5.04/8.60,8.22R,8.22,R,8.22,5.04,8.60
Mount Vision,332,0.05P 5.49/8.60,0.05P,0.05,P,80.05,5.49,8.60
Unison,G35,1.01GY 8.47/8.60,1.01GY,1.01,GY,31.01,8.47,8.60
Great American,490.1,2.46B 4.84/8.61,2.46B,2.46,B,62.46,4.84,8.61
Great American,145.0,1.13Y 6.95/8.61,1.13Y,1.13,Y,21.13,6.95,8.61
Blue Earth,Y7A,2.53Y 8.70/8.63,2.53Y,2.53,Y,22.53,8.70,8.63
Sennelier,613,1.95Y 8.52/8.64,1.95Y,1.95,Y,21.95,8.52,8.64
Mount Vision,570,6.09P 4.14/8.65,6.09P,6.09,P,86.09,4.14,8.65
Unison,J10,3.52PB 5.78/8.65,3.52PB,3.52,PB,73.52,5.78,8.65
Mount Vision,371,8.40R 3.65/8.66,8.40R,8.40,R,8.40,3.65,8.66
Unison,G30,3.42GY 8.44/8.66,3.42GY,3.42,GY,33.42,8.44,8.66
Great American,700.3,0.54RP 6.92/8.69,0.54RP,0.54,RP,90.54,6.92,8.69
Sennelier,934,7.46R 7.09/8.69,7.46R,7.46,R,7.46,7.09,8.69
Unison,J2,7.46R 5.12/8.70,7.46R,7.46,R,7.46,5.12,8.70
Schmincke,690M,0.52PB 5.77/8.70,0.52PB,0.52,PB,70.52,5.77,8.70
Sennelier,743,1.48B 6.49/8.70,1.48B,1.48,B,61.48,6.49,8.70
Mount Vision,522,6.92PB 6.54/8.70,6.92PB,6.92,PB,76.92,6.54,8.70
Unison,J3,2.97R 5.06/8.72,2.97R,2.97,R,2.97,5.06,8.72
Great American,485.2,1.41B 5.71/8.72,1.41B,1.41,B,61.41,5.71,8.72
Girault,128,5.52YR 6.30/8.72,5.52YR,5.52,YR,15.52,6.30,8.72
Girault,26,0.11YR 5.90/8.73,0.11YR,0.11,YR,10.11,5.90,8.73
Mount Vision,221,4.54PB 6.52/8.74,4.54PB,4.54,PB,74.54,6.52,8.74
Mount Vision,721,5.50B 4.34/8.75,5.50B,5.50,B,65.50,4.34,8.75
Great American,915.2,1.09YR 5.99/8.75,1.09YR,1.09,YR,11.09,5.99,8.75
Schmincke,019D,1.28YR 4.68/8.76,1.28YR,1.28,YR,11.28,4.68,8.76
Girault,127,6.22YR 5.98/8.78,6.22YR,6.22,YR,16.22,5.98,8.78
Schmincke,055,3.89P 3.25/8.79,3.89P,3.89,P,83.89,3.25,8.79
Unison,RE11,0.38YR 4.05/8.79,0.38YR,0.38,YR,10.38,4.05,8.79
Great American,620.4,7.68R 7.17/8.79,7.68R,7.68,R,7.68,7.17,8.79
Unison,BV4,9.19PB 6.01/8.80,9.19PB,9.19,PB,79.19,6.01,8.80
Great American,945.0,1.37B 6.37/8.81,1.37B,1.37,B,61.37,6.37,8.81
Mount Vision,732,1.20R 6.91/8.81,1.20R,1.20,R,1.20,6.91,8.81
Mount Vision,121,1.74GY 7.99/8.81,1.74GY,1.74,GY,31.74,7.99,8.81
Mount Vision,630,8.04BG 5.26/8.82,8.04BG,8.04,BG,58.04,5.26,8.82
Great American,470.2,4.92PB 6.68/8.82,4.92PB,4.92,PB,74.92,6.68,8.82
Great American,655.2,3.02R 5.13/8.83,3.02R,3.02,R,3.02,5.13,8.83
Girault,136,7.79YR 5.46/8.83,7.79YR,7.79,YR,17.79,5.46,8.83
Unison,G34,0.15GY 7.62/8.83,0.15GY,0.15,GY,30.15,7.62,8.83
Sennelier,284,5.67P 5.23/8.84,5.67P,5.67,P,85.67,5.23,8.84
Great American,710.3,7.16P 6.60/8.84,7.16P,7.16,P,87.16,6.60,8.84
