Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Girault,526,N0.99,N,NaN,N,NaN,0.99,0.00
Sennelier,821,N5.42,N,NaN,N,NaN,5.42,0.00
Blue Earth,B6D,N7.33,N,NaN,N,NaN,7.33,0.00
Great American,347.0,1.90Y 7.30/0.07,1.90Y,1.90,Y,21.90,7.30,0.07
Blue Earth,NB6,9.44YR 7.49/0.07,9.44YR,9.44,YR,19.44,7.49,0.07
Girault,513,2.69Y 1.31/0.09,2.69Y,2.69,Y,22.69,1.31,0.09
Sennelier,521,3.04B 7.19/0.09,3.04B,3.04,B,63.04,7.19,0.09
Blue Earth,NB5,6.74R 6.56/0.10,6.74R,6.74,R,6.74,6.56,0.10
Blue Earth,B7D,1.55GY 8.20/0.10,1.55GY,1.55,GY,31.55,8.20,0.10
Blue Earth,NB7,3.74Y 8.21/0.10,3.74Y,3.74,Y,23.74,8.21,0.10
Blue Earth,NB4,0.55YR 5.62/0.11,0.55YR,0.55,YR,10.55,5.62,0.11
Great American,200.0,6.28P 1.78/0.14,6.28P,6.28,P,86.28,1.78,0.14
Blue Earth,NB3,6.93RP 4.63/0.14,6.93RP,6.93,RP,96.93,4.63,0.14
Unison,Grey17,0.69Y 7.83/0.14,0.69Y,0.69,Y,20.69,7.83,0.14
Schmincke,097,9.60GY 1.91/0.15,9.60GY,9.60,GY,39.60,1.91,0.15
Rembrandt,"707,10",4.05Y 7.75/0.15,4.05Y,4.05,Y,24.05,7.75,0.15
Rembrandt,"727,10",4.83G 7.93/0.15,4.83G,4.83,G,44.83,7.93,0.15
Unison,Grey18,4.03Y 8.49/0.15,4.03Y,4.03,Y,24.03,8.49,0.15
Great American,947,1.98BG 8.10/0.18,1.98BG,1.98,BG,51.98,8.10,0.18
Sennelier,423,4.17B 5.40/0.19,4.17B,4.17,B,64.17,5.40,0.19
Sennelier,513,3.91Y 1.36/0.20,3.91Y,3.91,Y,23.91,1.36,0.20
Blue Earth,NB2,8.14P 3.74/0.21,8.14P,8.14,P,88.14,3.74,0.21
Great American,850.5,1.22BG 6.73/0.21,1.22BG,1.22,BG,51.22,6.73,0.21
Great American,920.6,2.09P 8.65/0.22,2.09P,2.09,P,82.09,8.65,0.22
Sennelier,178,3.29GY 1.87/0.23,3.29GY,3.29,GY,33.29,1.87,0.23
Great American,220.0,9.14PB 2.81/0.23,9.14PB,9.14,PB,79.14,2.81,0.23
Mount Vision,461,2.13Y 2.19/0.24,2.13Y,2.13,Y,22.13,2.19,0.24
Sennelier,515,7.57PB 2.39/0.24,7.57PB,7.57,PB,77.57,2.39,0.24
Sennelier,421,9.65B 3.51/0.24,9.65B,9.65,B,69.65,3.51,0.24
Great American,850.2,9.98GY 3.86/0.24,9.98GY,9.98,GY,39.98,3.86,0.24
Great American,850.4,8.35G 5.88/0.24,8.35G,8.35,G,48.35,5.88,0.24
Blue Earth,B5D,7.92B 6.49/0.24,7.92B,7.92,B,67.92,6.49,0.24
Sennelier,520,0.18PB 6.93/0.24,0.18PB,0.18,PB,70.18,6.93,0.24
Sennelier,514,7.95PB 2.37/0.25,7.95PB,7.95,PB,77.95,2.37,0.25
Great American,850.3,4.39G 4.94/0.25,4.39G,4.39,G,44.39,4.94,0.25
Sennelier,526,6.33PB 2.15/0.26,6.33PB,6.33,PB,76.33,2.15,0.26
Blue Earth,B4D,6.79B 5.59/0.26,6.79B,6.79,B,66.79,5.59,0.26
Rembrandt,"704,3",4.07Y 2.69/0.27,4.07Y,4.07,Y,24.07,2.69,0.27
Sennelier,140,2.91G 8.81/0.27,2.91G,2.91,G,42.91,8.81,0.27
Sennelier,425,2.28GY 8.34/0.28,2.28GY,2.28,GY,32.28,8.34,0.28
Sennelier,491,4.86Y 2.31/0.29,4.86Y,4.86,Y,24.86,2.31,0.29
Rembrandt,"704,9",4.79Y 7.69/0.30,4.79Y,4.79,Y,24.79,7.69,0.30
Sennelier,525,7.37Y 9.08/0.30,7.37Y,7.37,Y,27.37,9.08,0.30
Unison,Grey36,8.46B 2.10/0.31,8.46B,8.46,B,68.46,2.10,0.31
Schmincke,001,0.65GY 9.49/0.33,0.65GY,0.65,GY,30.65,9.49,0.33
Girault,177,5.92GY 1.87/0.34,5.92GY,5.92,GY,35.92,1.87,0.34
Mount Vision,264,7.41Y 8.84/0.34,7.41Y,7.41,Y,27.41,8.84,0.34
Sennelier,516,4.81PB 3.44/0.35,4.81PB,4.81,PB,74.81,3.44,0.35
Blue Earth,N6,9.47YR 8.04/0.35,9.47YR,9.47,YR,19.47,8.04,0.35
Mount Vision,453,5.31Y 4.32/0.36,5.31Y,5.31,Y,25.31,4.32,0.36
Sennelier,517,4.07PB 4.14/0.37,4.07PB,4.07,PB,74.07,4.14,0.37
Rembrandt,"707,9",6.46PB 7.22/0.37,6.46PB,6.46,PB,76.46,7.22,0.37
Mount Vision,458,3.97Y 7.89/0.38,3.97Y,3.97,Y,23.97,7.89,0.38
Blue Earth,C7D,8.66GY 8.20/0.38,8.66GY,8.66,GY,38.66,8.20,0.38
Girault,525,3.22Y 9.33/0.38,3.22Y,3.22,Y,23.22,9.33,0.38
Girault,515,1.97Y 2.81/0.39,1.97Y,1.97,Y,21.97,2.81,0.39
Sennelier,495,4.08Y 4.28/0.40,4.08Y,4.08,Y,24.08,4.28,0.40
Great American,220.5,2.96PB 7.82/0.40,2.96PB,2.96,PB,72.96,7.82,0.40
Mount Vision,144,3.37B 9.14/0.40,3.37B,3.37,B,63.37,9.14,0.40
Blue Earth,B3D,0.30PB 4.67/0.41,0.30PB,0.30,PB,70.30,4.67,0.41
Rembrandt,"700,5",9.12G 1.73/0.42,9.12G,9.12,G,49.12,1.73,0.42
Great American,810.0,3.88YR 2.07/0.42,3.88YR,3.88,YR,13.88,2.07,0.42
Blue Earth,NB1,6.16P 2.80/0.42,6.16P,6.16,P,86.16,2.80,0.42
Mount Vision,452,5.16Y 3.70/0.42,5.16Y,5.16,Y,25.16,3.70,0.42
Rembrandt,"704,5",2.54Y 4.13/0.42,2.54Y,2.54,Y,22.54,4.13,0.42
Rembrandt,"727,8",0.70PB 6.64/0.42,0.70PB,0.70,PB,70.70,6.64,0.42
Sennelier,519,2.71PB 5.87/0.43,2.71PB,2.71,PB,72.71,5.87,0.43
Unison,Grey16,2.74PB 6.49/0.43,2.74PB,2.74,PB,72.74,6.49,0.43
Schmincke,095B,9.52PB 2.89/0.44,9.52PB,9.52,PB,79.52,2.89,0.44
Schmincke,090M,2.75R 6.51/0.44,2.75R,2.75,R,2.75,6.51,0.44
Sennelier,484,2.82YR 8.22/0.44,2.82YR,2.82,YR,12.82,8.22,0.44
Blue Earth,WHITE,4.37Y 9.47/0.44,4.37Y,4.37,Y,24.37,9.47,0.44
Schmincke,099,2.42YR 2.30/0.45,2.42YR,2.42,YR,12.42,2.30,0.45
Great American,850.1,0.34G 3.11/0.45,0.34G,0.34,G,40.34,3.11,0.45
Mount Vision,3,0.94GY 9.70/0.45,0.94GY,0.94,GY,30.94,9.70,0.45
Rembrandt,"709,10",5.48GY 8.15/0.46,5.48GY,5.48,GY,35.48,8.15,0.46
Rembrandt,"704,10",2.75Y 8.32/0.46,2.75Y,2.75,Y,22.75,8.32,0.46
Unison,Grey28,0.44Y 9.37/0.46,0.44Y,0.44,Y,20.44,9.37,0.46
Rembrandt,"704,7",3.44Y 5.96/0.47,3.44Y,3.44,Y,23.44,5.96,0.47
Sennelier,518,2.62PB 6.10/0.47,2.62PB,2.62,PB,72.62,6.10,0.47
Sennelier,523,5.77Y 9.06/0.47,5.77Y,5.77,Y,25.77,9.06,0.47
Sennelier,527,4.69Y 9.58/0.47,4.69Y,4.69,Y,24.69,9.58,0.47
Girault,375,9.47YR 1.70/0.48,9.47YR,9.47,YR,19.47,1.70,0.48
Blue Earth,C6D,1.04G 7.69/0.48,1.04G,1.04,G,41.04,7.69,0.48
Schmincke,090D,0.72RP 3.83/0.49,0.72RP,0.72,RP,90.72,3.83,0.49
Schmincke,090O,8.18P 7.56/0.49,8.18P,8.18,P,88.18,7.56,0.49
Blue Earth,T7D,0.40GY 8.57/0.49,0.40GY,0.40,GY,30.40,8.57,0.49
Rembrandt,"704,8",2.90Y 6.83/0.50,2.90Y,2.90,Y,22.90,6.83,0.50
Mount Vision,460,3.26Y 8.41/0.50,3.26Y,3.26,Y,23.26,8.41,0.50
Girault,265,6.69YR 1.39/0.51,6.69YR,6.69,YR,16.69,1.39,0.51
Sennelier,497,1.67GY 6.68/0.51,1.67GY,1.67,GY,31.67,6.68,0.51
Blue Earth,N5,9.45YR 6.97/0.51,9.45YR,9.45,YR,19.45,6.97,0.51
Rembrandt,"709,9",7.88GY 7.62/0.51,7.88GY,7.88,GY,37.88,7.62,0.51
Girault,517,1.87Y 4.50/0.52,1.87Y,1.87,Y,21.87,4.50,0.52
Blue Earth,N4,9.33YR 5.86/0.52,9.33YR,9.33,YR,19.33,5.86,0.52
Great American,220.4,2.83PB 7.10/0.52,2.83PB,2.83,PB,72.83,7.10,0.52
Mount Vision,457,3.61Y 7.22/0.53,3.61Y,3.61,Y,23.61,7.22,0.53
Rembrandt,"101,5",5.39Y 9.10/0.53,5.39Y,5.39,Y,25.39,9.10,0.53
Blue Earth,N2,9.43YR 3.48/0.54,9.43YR,9.43,YR,19.43,3.48,0.54
Schmincke,090H,8.60RP 4.85/0.54,8.60RP,8.60,RP,98.60,4.85,0.54
Sennelier,524,3.60Y 9.15/0.54,3.60Y,3.60,Y,23.60,9.15,0.54
Girault,524,0.88Y 7.98/0.55,0.88Y,0.88,Y,20.88,7.98,0.55
Schmincke,894,0.39Y 8.20/0.55,0.39Y,0.39,Y,20.39,8.20,0.55
Great American,375.5,4.35YR 8.96/0.55,4.35YR,4.35,YR,14.35,8.96,0.55
Blue Earth,BLACK,8.62YR 1.04/0.56,8.62YR,8.62,YR,18.62,1.04,0.56
Girault,522,0.70Y 6.87/0.56,0.70Y,0.70,Y,20.70,6.87,0.56
Great American,220.1,3.00PB 4.33/0.57,3.00PB,3.00,PB,73.00,4.33,0.57
Mount Vision,456,3.67Y 6.47/0.57,3.67Y,3.67,Y,23.67,6.47,0.57
Great American,280.6,6.48BG 8.18/0.57,6.48BG,6.48,BG,56.48,8.18,0.57
Sennelier,177,8.05GY 1.28/0.58,8.05GY,8.05,GY,38.05,1.28,0.58
Sennelier,156,3.44Y 2.11/0.58,3.44Y,3.44,Y,23.44,2.11,0.58
Sennelier,493,2.85Y 2.90/0.58,2.85Y,2.85,Y,22.85,2.90,0.58
Blue Earth,T6D,2.27GY 7.56/0.58,2.27GY,2.27,GY,32.27,7.56,0.58
Sennelier,155,6.13Y 1.56/0.59,6.13Y,6.13,Y,26.13,1.56,0.59
Mount Vision,455,3.24Y 5.75/0.59,3.24Y,3.24,Y,23.24,5.75,0.59
Girault,520,1.42Y 5.78/0.59,1.42Y,1.42,Y,21.42,5.78,0.59
Blue Earth,N3,9.67YR 4.76/0.60,9.67YR,9.67,YR,19.67,4.76,0.60
Great American,870.0,6.27RP 1.87/0.62,6.27RP,6.27,RP,96.27,1.87,0.62
Mount Vision,451,3.67Y 3.16/0.62,3.67Y,3.67,Y,23.67,3.16,0.62
Unison,Grey12,6.27G 8.15/0.62,6.27G,6.27,G,46.27,8.15,0.62
Schmincke,098O,8.73YR 8.90/0.62,8.73YR,8.73,YR,18.73,8.90,0.62
Sennelier,801,1.71Y 9.05/0.62,1.71Y,1.71,Y,21.71,9.05,0.62
Rembrandt,"709,8",0.58G 6.77/0.63,0.58G,0.58,G,40.58,6.77,0.63
Rembrandt,"100,5",3.67Y 9.11/0.63,3.67Y,3.67,Y,23.67,9.11,0.63
Great American,220.2,2.74PB 5.45/0.64,2.74PB,2.74,PB,72.74,5.45,0.64
Unison,A26,6.25YR 6.71/0.65,6.25YR,6.25,YR,16.25,6.71,0.65
Rembrandt,"505,10",7.54B 8.60/0.66,7.54B,7.54,B,67.54,8.60,0.66
Mount Vision,450,1.60Y 2.56/0.70,1.60Y,1.60,Y,21.60,2.56,0.70
Mount Vision,454,3.48Y 5.00/0.70,3.48Y,3.48,Y,23.48,5.00,0.70
Great American,280.5,6.98BG 7.62/0.71,6.98BG,6.98,BG,56.98,7.62,0.71
Mount Vision,459,2.12Y 8.02/0.71,2.12Y,2.12,Y,22.12,8.02,0.71
Unison,Grey13,0.11Y 2.24/0.72,0.11Y,0.11,Y,20.11,2.24,0.72
Mount Vision,700,1.88GY 2.41/0.72,1.88GY,1.88,GY,31.88,2.41,0.72
Great American,220.3,2.34PB 6.10/0.72,2.34PB,2.34,PB,72.34,6.10,0.72
Mount Vision,793,6.71G 7.53/0.72,6.71G,6.71,G,46.71,7.53,0.72
Blue Earth,B7C,2.74B 8.73/0.72,2.74B,2.74,B,62.74,8.73,0.72
Sennelier,176,6.76Y 9.07/0.73,6.76Y,6.76,Y,26.76,9.07,0.73
Schmincke,090B,7.37P 3.17/0.74,7.37P,7.37,P,87.37,3.17,0.74
Blue Earth,B2D,3.12PB 3.70/0.74,3.12PB,3.12,PB,73.12,3.70,0.74
Blue Earth,C5D,4.95G 6.59/0.74,4.95G,4.95,G,44.95,6.59,0.74
Rembrandt,"707,8",6.12PB 6.59/0.75,6.12PB,6.12,PB,76.12,6.59,0.75
Sennelier,57,1.14Y 1.60/0.76,1.14Y,1.14,Y,21.14,1.60,0.76
Blue Earth,NE1,9.12YR 3.02/0.76,9.12YR,9.12,YR,19.12,3.02,0.76
Schmincke,095O,6.35PB 5.93/0.76,6.35PB,6.35,PB,76.35,5.93,0.76
Blue Earth,T5D,6.17GY 6.60/0.76,6.17GY,6.17,GY,36.17,6.60,0.76
Sennelier,157,7.65Y 1.68/0.77,7.65Y,7.65,Y,27.65,1.68,0.77
Blue Earth,T1D,5.17G 2.91/0.77,5.17G,5.17,G,45.17,2.91,0.77
Great American,280.3,7.08BG 6.24/0.77,7.08BG,7.08,BG,57.08,6.24,0.77
Schmincke,098N,8.51YR 8.48/0.77,8.51YR,8.51,YR,18.51,8.48,0.77
Great American,850.0,0.85G 2.66/0.78,0.85G,0.85,G,40.85,2.66,0.78
Blue Earth,NV7,3.39RP 8.25/0.78,3.39RP,3.39,RP,93.39,8.25,0.78
Mount Vision,174,1.63G 8.55/0.78,1.63G,1.63,G,41.63,8.55,0.78
Unison,Grey35,6.14B 3.42/0.79,6.14B,6.14,B,66.14,3.42,0.79
Sennelier,816,3.34PB 3.75/0.79,3.34PB,3.34,PB,73.34,3.75,0.79
Sennelier,411,5.23YR 8.29/0.79,5.23YR,5.23,YR,15.23,8.29,0.79
Unison,Light1,9.10YR 9.41/0.79,9.10YR,9.10,YR,19.10,9.41,0.79
Unison,Light17,3.61G 9.09/0.81,3.61G,3.61,G,43.61,9.09,0.81
Girault,75,6.14YR 1.67/0.82,6.14YR,6.14,YR,16.14,1.67,0.82
Rembrandt,"727,9",0.69PB 7.23/0.84,0.69PB,0.69,PB,70.69,7.23,0.84
Unison,Grey1,5.14Y 3.83/0.85,5.14Y,5.14,Y,25.14,3.83,0.85
Girault,456,9.01YR 1.81/0.86,9.01YR,9.01,YR,19.01,1.81,0.86
Mount Vision,794,3.32G 8.82/0.86,3.32G,3.32,G,43.32,8.82,0.86
Blue Earth,NO1,4.60YR 3.08/0.87,4.60YR,4.60,YR,14.60,3.08,0.87
Unison,Grey2,2.17BG 4.78/0.87,2.17BG,2.17,BG,52.17,4.78,0.87
Rembrandt,"408,2",4.32Y 2.67/0.88,4.32Y,4.32,Y,24.32,2.67,0.88
Unison,Dark17,5.11PB 2.67/0.88,5.11PB,5.11,PB,75.11,2.67,0.88
Schmincke,095M,6.74PB 4.72/0.88,6.74PB,6.74,PB,76.74,4.72,0.88
Sennelier,448,2.33R 7.97/0.88,2.33R,2.33,R,2.33,7.97,0.88
Unison,Grey30,3.40GY 8.22/0.88,3.40GY,3.40,GY,33.40,8.22,0.88
Rembrandt,"205,12",6.90Y 9.08/0.88,6.90Y,6.90,Y,26.90,9.08,0.88
Schmincke,098F,7.65YR 3.65/0.90,7.65YR,7.65,YR,17.65,3.65,0.90
Schmincke,098G,9.08YR 4.15/0.90,9.08YR,9.08,YR,19.08,4.15,0.90
Blue Earth,T4D,7.22GY 5.90/0.90,7.22GY,7.22,GY,37.22,5.90,0.90
Schmincke,094O,2.05G 8.25/0.90,2.05G,2.05,G,42.05,8.25,0.90
Great American,999,9.07YR 8.34/0.90,9.07YR,9.07,YR,19.07,8.34,0.90
Blue Earth,NR1,9.29R 3.43/0.91,9.29R,9.29,R,9.29,3.43,0.91
Rembrandt,"709,3",2.12G 3.49/0.91,2.12G,2.12,G,42.12,3.49,0.91
Great American,280.4,7.84BG 6.80/0.91,7.84BG,7.84,BG,57.84,6.80,0.91
Unison,Grey6,7.21Y 8.23/0.91,7.21Y,7.21,Y,27.21,8.23,0.91
Unison,Light16,3.89BG 9.19/0.91,3.89BG,3.89,BG,53.89,9.19,0.91
Mount Vision,4,5.47PB 9.43/0.91,5.47PB,5.47,PB,75.47,9.43,0.91
Girault,45,4.08YR 1.97/0.92,4.08YR,4.08,YR,14.08,1.97,0.92
Great American,316.0,7.21YR 9.23/0.92,7.21YR,7.21,YR,17.21,9.23,0.92
Great American,925,0.45G 9.35/0.92,0.45G,0.45,G,40.45,9.35,0.92
Mount Vision,693,7.19R 2.44/0.93,7.19R,7.19,R,7.19,2.44,0.93
Schmincke,098D,9.00YR 2.77/0.93,9.00YR,9.00,YR,19.00,2.77,0.93
Rembrandt,"707,3",8.17PB 3.22/0.93,8.17PB,8.17,PB,78.17,3.22,0.93
Blue Earth,C2D,9.97BG 4.32/0.95,9.97BG,9.97,BG,59.97,4.32,0.95
Sennelier,419,1.42PB 2.54/0.96,1.42PB,1.42,PB,71.42,2.54,0.96
Blue Earth,NP1,8.72RP 3.48/0.96,8.72RP,8.72,RP,98.72,3.48,0.96
Rembrandt,"709,7",0.89G 5.58/0.96,0.89G,0.89,G,40.89,5.58,0.96
Blue Earth,C4D,1.34BG 5.94/0.96,1.34BG,1.34,BG,51.34,5.94,0.96
Unison,A48,6.18G 8.04/0.96,6.18G,6.18,G,46.18,8.04,0.96
Great American,210.5,8.90YR 7.60/0.97,8.90YR,8.90,YR,18.90,7.60,0.97
Unison,Light12,0.20RP 9.07/0.97,0.20RP,0.20,RP,90.20,9.07,0.97
Blue Earth,E1C,8.20GY 2.49/0.98,8.20GY,8.20,GY,38.20,2.49,0.98
Unison,A47,8.08GY 7.52/0.98,8.08GY,8.08,GY,38.08,7.52,0.98
Sennelier,479,2.05P 3.52/0.99,2.05P,2.05,P,82.05,3.52,0.99
Schmincke,098H,8.76YR 4.72/0.99,8.76YR,8.76,YR,18.76,4.72,0.99
Mount Vision,75,6.45BG 9.16/0.99,6.45BG,6.45,BG,56.45,9.16,0.99
Schmincke,910H,2.21Y 9.39/1.00,2.21Y,2.21,Y,22.21,9.39,1.00
Great American,299.0,6.29Y 9.77/1.00,6.29Y,6.29,Y,26.29,9.77,1.00
Unison,Grey31,1.15G 7.87/1.01,1.15G,1.15,G,41.15,7.87,1.01
Schmincke,095H,6.89PB 4.02/1.02,6.89PB,6.89,PB,76.89,4.02,1.02
Mount Vision,214,7.46GY 8.63/1.02,7.46GY,7.46,GY,37.46,8.63,1.02
Sennelier,109,2.06Y 9.03/1.02,2.06Y,2.06,Y,22.06,9.03,1.02
Schmincke,092B,1.72RP 3.01/1.03,1.72RP,1.72,RP,91.72,3.01,1.03
Blue Earth,T3D,1.42G 4.95/1.04,1.42G,1.42,G,41.42,4.95,1.04
Sennelier,110,1.88Y 9.02/1.04,1.88Y,1.88,Y,21.88,9.02,1.04
Blue Earth,L1D,4.16Y 2.44/1.05,4.16Y,4.16,Y,24.16,2.44,1.05
Sennelier,483,7.94P 7.68/1.06,7.94P,7.94,P,87.94,7.68,1.06
Mount Vision,355,6.90GY 9.33/1.06,6.90GY,6.90,GY,36.90,9.33,1.06
Girault,419,6.67PB 2.28/1.07,6.67PB,6.67,PB,76.67,2.28,1.07
Rembrandt,"538,10",2.23R 7.66/1.07,2.23R,2.23,R,2.23,7.66,1.07
Blue Earth,B6C,3.01B 7.98/1.07,3.01B,3.01,B,63.01,7.98,1.07
Unison,A42,2.94Y 8.09/1.07,2.94Y,2.94,Y,22.94,8.09,1.07
Unison,A3,2.79BG 8.38/1.08,2.79BG,2.79,BG,52.79,8.38,1.08
Unison,A46,0.68G 6.25/1.09,0.68G,0.68,G,40.68,6.25,1.09
Unison,A37,1.54GY 2.51/1.10,1.54GY,1.54,GY,31.54,2.51,1.10
Schmincke,094B,3.13GY 3.53/1.10,3.13GY,3.13,GY,33.13,3.53,1.10
Unison,Grey5,7.78G 7.24/1.10,7.78G,7.78,G,47.78,7.24,1.10
Sennelier,296,0.51B 8.65/1.10,0.51B,0.51,B,60.51,8.65,1.10
Rembrandt,"202,12",4.08Y 8.88/1.10,4.08Y,4.08,Y,24.08,8.88,1.10
Mount Vision,580,9.00YR 3.22/1.12,9.00YR,9.00,YR,19.00,3.22,1.12
Schmincke,095D,7.09PB 3.33/1.12,7.09PB,7.09,PB,77.09,3.33,1.12
Great American,280.1,6.18BG 4.33/1.12,6.18BG,6.18,BG,56.18,4.33,1.12
Schmincke,098M,6.92YR 7.58/1.12,6.92YR,6.92,YR,16.92,7.58,1.12
Mount Vision,114,1.21Y 8.70/1.12,1.21Y,1.21,Y,21.21,8.70,1.12
Blue Earth,T7C,2.18G 8.45/1.13,2.18G,2.18,G,42.18,8.45,1.13
Schmincke,092D,3.06RP 3.24/1.14,3.06RP,3.06,RP,93.06,3.24,1.14
Schmincke,098L,8.06YR 6.97/1.14,8.06YR,8.06,YR,18.06,6.97,1.14
Girault,367,5.85P 7.52/1.14,5.85P,5.85,P,85.85,7.52,1.14
Unison,Light18,2.45G 9.02/1.14,2.45G,2.45,G,42.45,9.02,1.14
Mount Vision,643,9.17B 5.77/1.15,9.17B,9.17,B,69.17,5.77,1.15
Schmincke,098K,8.38YR 6.12/1.15,8.38YR,8.38,YR,18.38,6.12,1.15
Sennelier,432,9.60YR 7.73/1.15,9.60YR,9.60,YR,19.60,7.73,1.15
Blue Earth,C7C,2.53B 8.40/1.15,2.53B,2.53,B,62.53,8.40,1.15
Unison,Grey14,9.61B 3.45/1.16,9.61B,9.61,B,69.61,3.45,1.16
Sennelier,216,6.21GY 8.11/1.16,6.21GY,6.21,GY,36.21,8.11,1.16
Blue Earth,T2D,2.63G 4.33/1.18,2.63G,2.63,G,42.63,4.33,1.18
Mount Vision,163,2.80Y 7.98/1.18,2.80Y,2.80,Y,22.80,7.98,1.18
Schmincke,092H,9.47RP 3.78/1.19,9.47RP,9.47,RP,99.47,3.78,1.19
Great American,318.0,3.42R 4.63/1.19,3.42R,3.42,R,3.42,4.63,1.19
Unison,Grey15,2.24PB 5.35/1.19,2.24PB,2.24,PB,72.24,5.35,1.19
Sennelier,403,1.51Y 5.73/1.19,1.51Y,1.51,Y,21.51,5.73,1.19
Girault,13,6.97YR 2.00/1.20,6.97YR,6.97,YR,16.97,2.00,1.20
Great American,275.0,8.45RP 2.43/1.20,8.45RP,8.45,RP,98.45,2.43,1.20
Sennelier,481,3.14P 4.41/1.20,3.14P,3.14,P,83.14,4.41,1.20
Great American,280.2,7.04BG 4.95/1.20,7.04BG,7.04,BG,57.04,4.95,1.20
Schmincke,080O,5.95G 7.96/1.20,5.95G,5.95,G,45.95,7.96,1.20
Great American,950.0,7.81P 1.55/1.21,7.81P,7.81,P,87.81,1.55,1.21
Blue Earth,NY1,9.50YR 2.84/1.21,9.50YR,9.50,YR,19.50,2.84,1.21
Girault,420,7.22PB 3.72/1.21,7.22PB,7.22,PB,77.22,3.72,1.21
Blue Earth,NP2,2.89R 4.24/1.21,2.89R,2.89,R,2.89,4.24,1.21
Mount Vision,173,7.27G 7.47/1.22,7.27G,7.27,G,47.27,7.47,1.22
Mount Vision,230,4.70RP 2.57/1.23,4.70RP,4.70,RP,94.70,2.57,1.23
Rembrandt,"707,5",9.76PB 3.87/1.23,9.76PB,9.76,PB,79.76,3.87,1.23
Great American,810.5,0.13YR 7.48/1.23,0.13YR,0.13,YR,10.13,7.48,1.23
Schmincke,093B,7.39Y 3.49/1.24,7.39Y,7.39,Y,27.39,3.49,1.24
Blue Earth,NE2,3.75Y 4.10/1.24,3.75Y,3.75,Y,23.75,4.10,1.24
Sennelier,480,3.39P 4.45/1.24,3.39P,3.39,P,83.39,4.45,1.24
Rembrandt,"709,5",9.35GY 3.83/1.25,9.35GY,9.35,GY,39.35,3.83,1.25
Blue Earth,NR2,8.15R 4.23/1.25,8.15R,8.15,R,8.15,4.23,1.25
Blue Earth,C3D,4.78BG 5.18/1.25,4.78BG,4.78,BG,54.78,5.18,1.25
Schmincke,098J,8.65YR 5.64/1.25,8.65YR,8.65,YR,18.65,5.64,1.25
Unison,A25,5.54YR 7.70/1.25,5.54YR,5.54,YR,15.54,7.70,1.25
Mount Vision,43,4.00Y 9.47/1.25,4.00Y,4.00,Y,24.00,9.47,1.25
Girault,449,0.75GY 2.05/1.26,0.75GY,0.75,GY,30.75,2.05,1.26
Mount Vision,673,9.03R 6.33/1.26,9.03R,9.03,R,9.03,6.33,1.26
Blue Earth,NV6,9.42P 7.57/1.26,9.42P,9.42,P,89.42,7.57,1.26
Great American,170.6,4.81Y 8.05/1.26,4.81Y,4.81,Y,24.81,8.05,1.26
Blue Earth,V7D,0.63YR 8.40/1.26,0.63YR,0.63,YR,10.63,8.40,1.26
Unison,Dark5,1.80Y 2.88/1.27,1.80Y,1.80,Y,21.80,2.88,1.27
Sennelier,428,6.51YR 4.34/1.28,6.51YR,6.51,YR,16.51,4.34,1.28
Unison,Light15,8.88BG 8.79/1.28,8.88BG,8.88,BG,58.88,8.79,1.28
Unison,A44,9.23G 3.95/1.29,9.23G,9.23,G,49.23,3.95,1.29
Rembrandt,"707,7",8.37PB 5.07/1.29,8.37PB,8.37,PB,78.37,5.07,1.29
Unison,A45,7.04G 5.14/1.29,7.04G,7.04,G,47.04,5.14,1.29
Unison,Grey29,1.51GY 8.68/1.29,1.51GY,1.51,GY,31.51,8.68,1.29
Sennelier,478,2.75P 2.27/1.30,2.75P,2.75,P,82.75,2.27,1.30
Sennelier,958,4.62G 3.65/1.30,4.62G,4.62,G,44.62,3.65,1.30
Great American,810.6,0.15YR 8.14/1.30,0.15YR,0.15,YR,10.15,8.14,1.30
Sennelier,158,6.57Y 1.93/1.31,6.57Y,6.57,Y,26.57,1.93,1.31
Girault,397,9.10R 2.42/1.31,9.10R,9.10,R,9.10,2.42,1.31
Schmincke,092M,4.75RP 4.73/1.31,4.75RP,4.75,RP,94.75,4.73,1.31
Unison,Grey4,2.77BG 6.63/1.32,2.77BG,2.77,BG,52.77,6.63,1.32
Girault,417,1.94YR 7.09/1.32,1.94YR,1.94,YR,11.94,7.09,1.32
Blue Earth,L2D,5.22Y 3.62/1.33,5.22Y,5.22,Y,25.22,3.62,1.33
Great American,311.0,9.79YR 6.52/1.33,9.79YR,9.79,YR,19.79,6.52,1.33
Sennelier,404,0.35Y 6.33/1.34,0.35Y,0.35,Y,20.35,6.33,1.34
Great American,150.6,3.16G 7.64/1.34,3.16G,3.16,G,43.16,7.64,1.34
Sennelier,159,4.99Y 2.78/1.36,4.99Y,4.99,Y,24.99,2.78,1.36
Blue Earth,Y1D,6.77YR 2.78/1.36,6.77YR,6.77,YR,16.77,2.78,1.36
Girault,14,6.53YR 2.97/1.36,6.53YR,6.53,YR,16.53,2.97,1.36
Blue Earth,C1D,3.80PB 3.17/1.36,3.80PB,3.80,PB,73.80,3.17,1.36
Sennelier,400,9.08YR 3.58/1.37,9.08YR,9.08,YR,19.08,3.58,1.37
