file order,h,V,C,x,y,Y,X_C,Y_C,Z_C,L*,a*,b*
2504,10B,8,6,0.2512,0.276,59.1,0.5379,0.591,1.0124,81.35,-10.18,-22.19
2505,10B,8,8,0.2294,0.2587,59.1,0.5241,0.591,1.1694,81.35,-13.71,-31.55
2506,2.5PB,8,2,0.2957,0.3047,59.1,0.5735,0.591,0.7751,81.35,-1.34,-6.00
2507,2.5PB,8,4,0.2758,0.2879,59.1,0.5662,0.591,0.8956,81.35,-3.12,-14.58
2508,2.5PB,8,6,0.2562,0.2709,59.1,0.5589,0.591,1.0317,81.35,-4.92,-23.39
2509,5PB,8,2,0.2974,0.3039,59.1,0.5784,0.591,0.7754,81.35,-0.15,-6.03
2510,5PB,8,4,0.2798,0.2861,59.1,0.578,0.591,0.8967,81.35,-0.25,-14.66
2511,5PB,8,6,0.2614,0.267,59.1,0.5786,0.591,1.0439,81.35,-0.10,-24.14
2512,7.5PB,8,2,0.3003,0.3034,59.1,0.585,0.591,0.772,81.35,1.44,-5.77
2513,7.5PB,8,4,0.2856,0.2846,59.1,0.5931,0.591,0.8925,81.35,3.37,-14.37
2514,7.5PB,8,6,0.2702,0.2648,59.1,0.6031,0.591,1.0378,81.35,5.74,-23.77
2515,10PB,8,2,0.3027,0.3035,59.1,0.5894,0.591,0.7668,81.35,2.49,-5.38
2516,10PB,8,4,0.2911,0.2848,59.1,0.6041,0.591,0.8801,81.35,5.97,-13.52
2517,10PB,8,6,0.2792,0.2649,59.1,0.6229,0.591,1.0171,81.35,10.34,-22.49
2518,10PB,8,8,0.2677,0.2443,59.1,0.6476,0.591,1.1805,81.35,15.95,-32.18
2519,2.5P,8,2,0.3048,0.304,59.1,0.5926,0.591,0.7605,81.35,3.25,-4.91
2520,2.5P,8,4,0.2962,0.285,59.1,0.6142,0.591,0.8685,81.35,8.33,-12.72
2521,2.5P,8,6,0.2881,0.2671,59.1,0.6375,0.591,0.9842,81.35,13.67,-20.41
2522,2.5P,8,8,0.28,0.2488,59.1,0.6651,0.591,1.1193,81.35,19.84,-28.66
2523,5P,8,2,0.3065,0.3047,59.1,0.5945,0.591,0.7541,81.35,3.70,-4.42
2524,5P,8,4,0.3012,0.2868,59.1,0.6207,0.591,0.849,81.35,9.83,-11.36
2525,5P,8,6,0.2963,0.2704,59.1,0.6476,0.591,0.947,81.35,15.95,-18.01
2526,5P,8,8,0.2914,0.2534,59.1,0.6796,0.591,1.0617,81.35,23.01,-25.23
2527,5P,8,10,0.287,0.238,59.1,0.7127,0.591,1.1795,81.35,30.08,-32.12
2528,7.5P,8,2,0.3107,0.307,59.1,0.5981,0.591,0.736,81.35,4.56,-3.03
2529,7.5P,8,4,0.3114,0.2915,59.1,0.6313,0.591,0.8051,81.35,12.26,-8.22
2530,7.5P,8,6,0.3114,0.2785,59.1,0.6608,0.591,0.8703,81.35,18.89,-12.85
2531,7.5P,8,8,0.3116,0.2626,59.1,0.7013,0.591,0.9583,81.35,27.67,-18.74
2532,7.5P,8,10,0.3116,0.2497,59.1,0.7375,0.591,1.0383,81.35,35.24,-23.80
2533,7.5P,8,12,0.3117,0.237,59.1,0.7773,0.591,1.1254,81.35,43.28,-29.01
2534,10P,8,2,0.3131,0.3084,59.1,0.6,0.591,0.7253,81.35,5.01,-2.20
2535,10P,8,4,0.3175,0.2955,59.1,0.635,0.591,0.774,81.35,13.11,-5.92
2536,10P,8,6,0.3213,0.2829,59.1,0.6712,0.591,0.8269,81.35,21.18,-9.79
2537,10P,8,8,0.325,0.27,59.1,0.7114,0.591,0.8865,81.35,29.81,-13.96
2538,10P,8,10,0.3282,0.2582,59.1,0.7512,0.591,0.9467,81.35,38.04,-17.99
2539,10P,8,12,0.3312,0.247,59.1,0.7925,0.591,1.0092,81.35,46.27,-21.99
2540,10P,8,14,0.3342,0.2349,59.1,0.8408,0.591,1.0841,81.35,55.55,-26.58
2541,2.5RP,8,2,0.3154,0.31,59.1,0.6013,0.591,0.7142,81.35,5.31,-1.33
2542,2.5RP,8,4,0.3239,0.3,59.1,0.6381,0.591,0.7409,81.35,13.81,-3.41
2543,2.5RP,8,6,0.3327,0.2898,59.1,0.6785,0.591,0.7698,81.35,22.77,-5.61
2544,2.5RP,8,8,0.3406,0.2793,59.1,0.7207,0.591,0.8043,81.35,31.76,-8.16
2545,2.5RP,8,10,0.3479,0.2699,59.1,0.7618,0.591,0.8369,81.35,40.18,-10.51
2546,2.5RP,8,12,0.3552,0.2594,59.1,0.8093,0.591,0.8781,81.35,49.54,-13.39
2547,2.5RP,8,14,0.3621,0.2496,59.1,0.8574,0.591,0.9194,81.35,58.66,-16.18
2548,5RP,8,2,0.318,0.312,59.1,0.6024,0.591,0.7009,81.35,5.57,-0.27
2549,5RP,8,4,0.3308,0.3052,59.1,0.6406,0.591,0.7049,81.35,14.37,-0.59
2550,5RP,8,6,0.344,0.2978,59.1,0.6827,0.591,0.7109,81.35,23.68,-1.07
2551,5RP,8,8,0.357,0.29,59.1,0.7275,0.591,0.7194,81.35,33.17,-1.74
2552,5RP,8,10,0.3685,0.2828,59.1,0.7701,0.591,0.7287,81.35,41.84,-2.46
2553,5RP,8,12,0.3818,0.2742,59.1,0.8229,0.591,0.7414,81.35,52.16,-3.45
2554,7.5RP,8,2,0.32,0.3136,59.1,0.6031,0.591,0.6905,81.35,5.74,0.57
2555,7.5RP,8,4,0.336,0.3092,59.1,0.6422,0.591,0.6782,81.35,14.74,1.56
2556,7.5RP,8,6,0.3521,0.3042,59.1,0.6841,0.591,0.6677,81.35,23.98,2.43
2557,7.5RP,8,8,0.3682,0.2983,59.1,0.7295,0.591,0.6607,81.35,33.59,3.01
2558,7.5RP,8,10,0.383,0.293,59.1,0.7725,0.591,0.6535,81.35,42.32,3.61
2559,7.5RP,8,12,0.4002,0.2859,59.1,0.8273,0.591,0.6489,81.35,53.00,3.99
2560,10RP,9,2,0.3205,0.3155,78.66,0.7991,0.7866,0.9075,91.08,5.61,1.39
2561,10RP,9,4,0.34,0.314,78.66,0.8517,0.7866,0.8668,91.08,15.64,4.18
2562,10RP,9,6,0.359,0.3118,78.66,0.9057,0.7866,0.8305,91.08,25.52,6.73
2563,2.5R,9,2,0.321,0.3168,78.66,0.797,0.7866,0.8993,91.08,5.20,1.95
2564,2.5R,9,4,0.3445,0.3179,78.66,0.8524,0.7866,0.8353,91.08,15.77,6.39
2565,2.5R,9,6,0.3665,0.3183,78.66,0.9057,0.7866,0.7789,91.08,25.52,10.49
2566,5R,9,2,0.324,0.3188,78.66,0.7994,0.7866,0.8813,91.08,5.67,3.18
2567,5R,9,4,0.3495,0.3226,78.66,0.8522,0.7866,0.7995,91.08,15.73,8.97
2568,5R,9,6,0.3734,0.3256,78.66,0.9021,0.7866,0.7272,91.08,24.87,14.44
2569,7.5R,9,2,0.3263,0.321,78.66,0.7996,0.7866,0.8643,91.08,5.71,4.35
2570,7.5R,9,4,0.3551,0.3283,78.66,0.8508,0.7866,0.7586,91.08,15.47,12.02
2571,7.5R,9,6,0.3812,0.3348,78.66,0.8956,0.7866,0.6672,91.08,23.70,19.25
2572,10R,9,2,0.3284,0.3233,78.66,0.799,0.7866,0.8474,91.08,5.59,5.53
2573,10R,9,4,0.36,0.3348,78.66,0.8458,0.7866,0.7171,91.08,14.54,15.23
2574,10R,9,6,0.388,0.3439,78.66,0.8875,0.7866,0.6132,91.08,22.24,23.84
2575,2.5YR,9,2,0.332,0.3273,78.66,0.7979,0.7866,0.8188,91.08,5.37,7.57
2576,2.5YR,9,4,0.3641,0.3422,78.66,0.8369,0.7866,0.6751,91.08,12.86,18.60
2577,2.5YR,9,6,0.3927,0.355,78.66,0.8701,0.7866,0.559,91.08,19.05,28.72
2578,5YR,9,2,0.3353,0.3325,78.66,0.7932,0.7866,0.7859,91.08,4.46,9.97
2579,5YR,9,4,0.3668,0.3509,78.66,0.8222,0.7866,0.6328,91.08,10.07,22.14
2580,5YR,9,6,0.3948,0.3659,78.66,0.8487,0.7866,0.5144,91.08,15.08,32.98
2581,7.5YR,9,2,0.338,0.3377,78.66,0.7873,0.7866,0.7554,91.08,3.30,12.26
2582,7.5YR,9,4,0.3679,0.3585,78.66,0.8072,0.7866,0.6003,91.08,7.18,24.97
2583,7.5YR,9,6,0.395,0.3763,78.66,0.8257,0.7866,0.4781,91.08,10.74,36.64
2584,7.5YR,9,8,0.422,0.393,78.66,0.8446,0.7866,0.3703,91.08,14.31,48.72
2585,10YR,9,2,0.3392,0.343,78.66,0.7779,0.7866,0.7288,91.08,1.44,14.31
2586,10YR,9,4,0.3677,0.3668,78.66,0.7885,0.7866,0.5694,91.08,3.53,27.76
2587,10YR,9,6,0.3941,0.3877,78.66,0.7996,0.7866,0.4427,91.08,5.71,40.38
2588,10YR,9,8,0.4199,0.4069,78.66,0.8117,0.7866,0.3348,91.08,8.05,53.21
2589,2.5Y,9,2,0.339,0.3472,78.66,0.768,0.7866,0.7109,91.08,-0.53,15.72
2590,2.5Y,9,4,0.3655,0.3738,78.66,0.7691,0.7866,0.5486,91.08,-0.31,29.70
2591,2.5Y,9,6,0.391,0.3972,78.66,0.7743,0.7866,0.4194,91.08,0.72,42.96
2592,2.5Y,9,8,0.4154,0.4186,78.66,0.7806,0.7866,0.3119,91.08,1.97,56.28
2593,2.5Y,9,10,0.437,0.4369,78.66,0.7868,0.7866,0.227,91.08,3.20,69.17
2594,2.5Y,9,12,0.4569,0.4527,78.66,0.7939,0.7866,0.1571,91.08,4.59,82.50
2595,5Y,9,2,0.3378,0.3504,78.66,0.7583,0.7866,0.6999,91.08,-2.48,16.59
2596,5Y,9,4,0.3621,0.3799,78.66,0.7497,0.7866,0.5342,91.08,-4.22,31.06
2597,5Y,9,6,0.3858,0.4071,78.66,0.7454,0.7866,0.4002,91.08,-5.10,45.16
2598,5Y,9,8,0.408,0.4319,78.66,0.7431,0.7866,0.2916,91.08,-5.57,59.12
2599,5Y,9,10,0.4275,0.4529,78.66,0.7425,0.7866,0.2077,91.08,-5.69,72.54
2600,5Y,9,12,0.4455,0.4719,78.66,0.7426,0.7866,0.1377,91.08,-5.67,86.89
2605,7.5Y,9,2,0.3365,0.3527,78.66,0.7505,0.7866,0.6932,91.08,-4.06,17.13
2606,7.5Y,9,4,0.3591,0.3832,78.66,0.7371,0.7866,0.529,91.08,-6.80,31.56
2607,7.5Y,9,6,0.3811,0.4123,78.66,0.7271,0.7866,0.3942,91.08,-8.87,45.86
2608,7.5Y,9,8,0.4019,0.4392,78.66,0.7198,0.7866,0.2846,91.08,-10.39,60.14
2609,7.5Y,9,10,0.4201,0.4622,78.66,0.715,0.7866,0.2003,91.08,-11.39,73.89
2610,7.5Y,9,12,0.4369,0.4829,78.66,0.7117,0.7866,0.1306,91.08,-12.09,88.60
2614,10Y,9,2,0.3349,0.3537,78.66,0.7448,0.7866,0.6925,91.08,-5.22,17.19
2615,10Y,9,4,0.3558,0.3852,78.66,0.7266,0.7866,0.5289,91.08,-8.97,31.57
2616,10Y,9,6,0.3761,0.4155,78.66,0.712,0.7866,0.3945,91.08,-12.02,45.82
2617,10Y,9,8,0.3957,0.445,78.66,0.6995,0.7866,0.2816,91.08,-14.67,60.57
2618,10Y,9,10,0.412,0.4694,78.66,0.6904,0.7866,0.1987,91.08,-16.61,74.19
2623,2.5GY,9,2,0.3321,0.3539,78.66,0.7381,0.7866,0.6979,91.08,-6.59,16.75
2624,2.5GY,9,4,0.3499,0.3866,78.66,0.7119,0.7866,0.5361,91.08,-12.04,30.88
2625,2.5GY,9,6,0.367,0.4178,78.66,0.691,0.7866,0.4052,91.08,-16.49,44.58
2626,2.5GY,9,8,0.3834,0.449,78.66,0.6717,0.7866,0.2936,91.08,-20.67,58.84
2627,2.5GY,9,10,0.3973,0.4761,78.66,0.6564,0.7866,0.2092,91.08,-24.04,72.27
2628,2.5GY,9,12,0.4108,0.5028,78.66,0.6427,0.7866,0.1352,91.08,-27.11,87.49
2632,5GY,9,2,0.3284,0.3534,78.66,0.731,0.7866,0.7083,91.08,-8.06,15.92
2633,5GY,9,4,0.3437,0.3861,78.66,0.7002,0.7866,0.5505,91.08,-14.52,29.52
2634,5GY,9,6,0.3572,0.4179,78.66,0.6723,0.7866,0.4233,91.08,-20.54,42.52
2635,5GY,9,8,0.3698,0.4497,78.66,0.6468,0.7866,0.3157,91.08,-26.19,55.76
2636,5GY,9,10,0.381,0.4791,78.66,0.6255,0.7866,0.2297,91.08,-31.02,68.72
2637,5GY,9,12,0.3911,0.5082,78.66,0.6054,0.7866,0.1559,91.08,-35.68,82.76
2641,7.5GY,9,2,0.3198,0.35,78.66,0.7187,0.7866,0.7421,91.08,-10.62,13.28
2642,7.5GY,9,4,0.3274,0.3793,78.66,0.679,0.7866,0.6083,91.08,-19.08,24.27
2643,7.5GY,9,6,0.3351,0.4111,78.66,0.6412,0.7866,0.4856,91.08,-27.45,35.87
2644,7.5GY,9,8,0.3414,0.4415,78.66,0.6083,0.7866,0.3868,91.08,-35.00,46.73
2645,7.5GY,9,10,0.3471,0.4735,78.66,0.5766,0.7866,0.298,91.08,-42.54,58.21
2646,7.5GY,9,12,0.3518,0.5042,78.66,0.5488,0.7866,0.2247,91.08,-49.39,69.57
2647,7.5GY,9,14,0.3551,0.5339,78.66,0.5232,0.7866,0.1635,91.08,-55.90,81.14
2650,10GY,9,2,0.3124,0.3454,78.66,0.7114,0.7866,0.7793,91.08,-12.15,10.46
2651,10GY,9,4,0.3144,0.3711,78.66,0.6664,0.7866,0.6666,91.08,-21.83,19.30
2652,10GY,9,6,0.3153,0.4008,78.66,0.6188,0.7866,0.5572,91.08,-32.56,28.89
2653,10GY,9,8,0.3157,0.4259,78.66,0.5831,0.7866,0.4772,91.08,-40.97,36.73
2654,10GY,9,10,0.3155,0.4558,78.66,0.5445,0.7866,0.3947,91.08,-50.47,45.80
2655,10GY,9,12,0.3139,0.4829,78.66,0.5113,0.7866,0.331,91.08,-59.00,53.71
2656,10GY,9,14,0.3115,0.5129,78.66,0.4777,0.7866,0.2693,91.08,-68.02,62.41
2657,10GY,9,16,0.3079,0.544,78.66,0.4452,0.7866,0.2141,91.08,-77.15,71.40
2658,10GY,9,18,0.3032,0.5748,78.66,0.4149,0.7866,0.167,91.08,-86.08,80.40
2659,2.5G,9,2,0.3058,0.34,78.66,0.7075,0.7866,0.8195,91.08,-12.97,7.52
2660,2.5G,9,4,0.3018,0.3606,78.66,0.6583,0.7866,0.7364,91.08,-23.62,13.72
2661,2.5G,9,6,0.2966,0.3846,78.66,0.6066,0.7866,0.652,91.08,-35.40,20.52
2662,2.5G,9,8,0.2912,0.4054,78.66,0.565,0.7866,0.5887,91.08,-45.37,26.01
2663,2.5G,9,10,0.2851,0.4275,78.66,0.5246,0.7866,0.5288,91.08,-55.54,31.58
2664,2.5G,9,12,0.2786,0.4491,78.66,0.488,0.7866,0.4769,91.08,-65.21,36.76
2667,5G,9,2,0.3017,0.3357,78.66,0.7069,0.7866,0.8496,91.08,-13.10,5.38
2668,5G,9,4,0.2933,0.3519,78.66,0.6556,0.7866,0.7931,91.08,-24.22,9.44
2669,5G,9,6,0.2832,0.3697,78.66,0.6026,0.7866,0.7385,91.08,-36.34,13.56
2670,5G,9,8,0.2735,0.3854,78.66,0.5582,0.7866,0.6962,91.08,-47.05,16.89
2671,5G,9,10,0.2639,0.4001,78.66,0.5188,0.7866,0.6606,91.08,-57.04,19.80
2673,7.5G,9,2,0.2987,0.3323,78.66,0.7071,0.7866,0.8735,91.08,-13.06,3.71
2674,7.5G,9,4,0.2882,0.3461,78.66,0.655,0.7866,0.8311,91.08,-24.35,6.69
2675,7.5G,9,6,0.2763,0.3607,78.66,0.6025,0.7866,0.7916,91.08,-36.36,9.55
2676,7.5G,9,8,0.2652,0.3738,78.66,0.5581,0.7866,0.7597,91.08,-47.07,11.94
2677,7.5G,9,10,0.2545,0.3855,78.66,0.5193,0.7866,0.7346,91.08,-56.91,13.86
2679,10G,9,2,0.2965,0.3293,78.66,0.7083,0.7866,0.8939,91.08,-12.80,2.31
2680,10G,9,4,0.284,0.3402,78.66,0.6567,0.7866,0.8689,91.08,-23.98,4.03
2681,10G,9,6,0.2703,0.3513,78.66,0.6052,0.7866,0.8473,91.08,-35.73,5.54
2682,10G,9,8,0.2574,0.3618,78.66,0.5596,0.7866,0.8279,91.08,-46.70,6.92
2683,10G,9,10,0.2457,0.3702,78.66,0.5221,0.7866,0.8161,91.08,-56.18,7.76
2685,2.5BG,9,2,0.2947,0.3267,78.66,0.7096,0.7866,0.9116,91.08,-12.53,1.12
2686,2.5BG,9,4,0.2805,0.3349,78.66,0.6588,0.7866,0.9033,91.08,-23.51,1.68
2687,2.5BG,9,6,0.2652,0.3433,78.66,0.6077,0.7866,0.897,91.08,-35.14,2.10
2688,2.5BG,9,8,0.2509,0.3507,78.66,0.5628,0.7866,0.8936,91.08,-45.91,2.34
2689,2.5BG,9,10,0.2382,0.3568,78.66,0.5251,0.7866,0.8929,91.08,-55.41,2.38
2690,5BG,9,2,0.293,0.3232,78.66,0.7131,0.7866,0.9341,91.08,-11.79,-0.38
2691,5BG,9,4,0.2768,0.3287,78.66,0.6624,0.7866,0.9441,91.08,-22.71,-1.04
2692,5BG,9,6,0.2599,0.3338,78.66,0.6125,0.7866,0.9574,91.08,-34.02,-1.90
2693,5BG,9,8,0.2437,0.3378,78.66,0.5675,0.7866,0.9745,91.08,-44.76,-3.01
2695,7.5BG,9,2,0.2911,0.3188,78.66,0.7183,0.7866,0.9625,91.08,-10.70,-2.23
2696,7.5BG,9,4,0.2728,0.3208,78.66,0.6689,0.7866,0.9965,91.08,-21.28,-4.41
2697,7.5BG,9,6,0.2543,0.322,78.66,0.6212,0.7866,1.035,91.08,-32.01,-6.81
2698,7.5BG,9,8,0.2361,0.3225,78.66,0.5759,0.7866,1.0766,91.08,-42.71,-9.34
2700,10BG,9,2,0.2907,0.3159,78.66,0.7239,0.7866,0.9796,91.08,-9.53,-3.33
2701,10BG,9,4,0.27,0.314,78.66,0.6764,0.7866,1.0421,91.08,-19.64,-7.25
2702,10BG,9,6,0.2501,0.3118,78.66,0.6309,0.7866,1.1052,91.08,-29.78,-11.05
2703,2.5B,9,2,0.2909,0.3125,78.66,0.7322,0.7866,0.9983,91.08,-7.81,-4.52
2704,2.5B,9,4,0.268,0.3073,78.66,0.686,0.7866,1.0871,91.08,-17.56,-9.97
2705,5B,9,2,0.2919,0.3102,78.66,0.7402,0.7866,1.009,91.08,-6.16,-5.20
2706,5B,9,4,0.2675,0.3005,78.66,0.7002,0.7866,1.1308,91.08,-14.52,-12.55
2707,7.5B,9,2,0.2937,0.3087,78.66,0.7484,0.7866,1.0131,91.08,-4.49,-5.45
2708,7.5B,9,4,0.2688,0.2961,78.66,0.7141,0.7866,1.1559,91.08,-11.58,-13.99
2709,10B,9,2,0.2949,0.3076,78.66,0.7541,0.7866,1.0165,91.08,-3.33,-5.67
2710,10B,9,4,0.2712,0.2924,78.66,0.7296,0.7866,1.174,91.08,-8.35,-15.03
2711,2.5PB,9,2,0.2975,0.3063,78.66,0.764,0.7866,1.0175,91.08,-1.33,-5.73
2712,5PB,9,2,0.2991,0.3057,78.66,0.7696,0.7866,1.0169,91.08,-0.21,-5.69
2713,7.5PB,9,2,0.3015,0.3052,78.66,0.7771,0.7866,1.0137,91.08,1.28,-5.49
2714,10PB,9,2,0.3038,0.3054,78.66,0.7825,0.7866,1.0066,91.08,2.35,-5.05
2715,10PB,9,4,0.291,0.285,78.66,0.8032,0.7866,1.1702,91.08,6.41,-14.81
2716,2.5P,9,2,0.305,0.3051,78.66,0.7863,0.7866,1.0052,91.08,3.10,-4.96
2717,2.5P,9,4,0.2963,0.2865,78.66,0.8135,0.7866,1.1454,91.08,8.40,-13.39
2718,5P,9,2,0.3067,0.306,78.66,0.7884,0.7866,0.9956,91.08,3.51,-4.35
2719,5P,9,4,0.3003,0.287,78.66,0.8231,0.7866,1.1311,91.08,10.24,-12.56
2720,7.5P,9,2,0.3107,0.3081,78.66,0.7932,0.7866,0.9732,91.08,4.46,-2.92
2721,7.5P,9,4,0.3117,0.2928,78.66,0.8374,0.7866,1.0625,91.08,12.96,-8.49
2722,7.5P,9,6,0.312,0.2788,78.66,0.8803,0.7866,1.1545,91.08,20.92,-13.91
2723,10P,9,2,0.3128,0.3094,78.66,0.7952,0.7866,0.9605,91.08,4.85,-2.10
2724,10P,9,4,0.3176,0.2966,78.66,0.8423,0.7866,1.0232,91.08,13.88,-6.08
2725,10P,9,6,0.3218,0.2845,78.66,0.8897,0.7866,1.0885,91.08,22.64,-10.06
2726,2.5RP,9,2,0.3149,0.3108,78.66,0.797,0.7866,0.9473,91.08,5.20,-1.25
2727,2.5RP,9,4,0.3234,0.301,78.66,0.8451,0.7866,0.9816,91.08,14.41,-3.46
2728,2.5RP,9,6,0.3322,0.291,78.66,0.898,0.7866,1.0185,91.08,24.14,-5.79
2729,5RP,9,2,0.3172,0.3126,78.66,0.7982,0.7866,0.9315,91.08,5.43,-0.21
2730,5RP,9,4,0.3301,0.306,78.66,0.8486,0.7866,0.9354,91.08,15.06,-0.46
2731,5RP,9,6,0.3431,0.2988,78.66,0.9032,0.7866,0.9427,91.08,25.07,-0.94
2732,7.5RP,9,2,0.319,0.3141,78.66,0.7989,0.7866,0.9188,91.08,5.57,0.64
2733,7.5RP,9,4,0.335,0.3099,78.66,0.8503,0.7866,0.9013,91.08,15.38,1.81
2734,7.5RP,9,6,0.3512,0.3052,78.66,0.9052,0.7866,0.8856,91.08,25.43,2.88
