Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma,Temp,Family,HueScale,HueColor
Gamblin Artist's Oil Colors,Radiant Turquoise,2.5B 8/7,2.5B,2.5,B,62.5,8,7,Cool,Blue,2.5,B
Gamblin Artist's Oil Colors,Radiant Violet,2.5P 8/7,2.5P,2.5,P,82.5,8,7,Cool,Violet,2.5,P
Gamblin Artist's Oil Colors,Radiant Yellow,2.5Y 14/8.5,2.5Y,2.5,Y,22.5,14,8.5,Warm,Yellow,2.5,Y
Gamblin Artist's Oil Colors,Raw Sienna,5YR 6/5,5YR,5,YR,15,6,5,Warm,Brown,5,YR
Gamblin Artist's Oil Colors,Raw Umber,10YR 2/2,10YR,10,YR,20,2,2,Cool,Brown,10,YR
Gamblin Artist's Oil Colors,Sap Green,5GY 2/2,5GY,5,GY,35,2,2,Warm,Green,5,GY
Gamblin Artist's Oil Colors,Terre Verte,10Y 2/4,10Y,10,Y,30,2,4,Warm,Green,10,Y
Gamblin Artist's Oil Colors,Titanium Buff,2.5Y 3/8,2.5Y,2.5,Y,22.5,3,8,Warm,Yellow,2.5,Y
Gamblin Artist's Oil Colors,Transparent Earth Orange,5YR 4/2,5YR,5,YR,15,4,2,Warm,Brown,5,YR
Gamblin Artist's Oil Colors,Transparent Earth Red,10R 4/2,10R,10,R,10,4,2,Warm,Brown,10,R
Gamblin Artist's Oil Colors,Transparent Earth Yellow,10YR 4/3,10YR,10,YR,20,4,3,Cool,Brown,10,YR
Gamblin Artist's Oil Colors,Transparent Orange,8.75R 14/4,8.75R,8.75,R,8.75,14,4,Warm,Orange,8.75,R
Gamblin Artist's Oil Colors,Ultramarine Blue,7.5PB 10/2,7.5PB,7.5,PB,77.5,10,2,Warm,Blue,7.5,PB
Gamblin Artist's Oil Colors,Ultramarine Violet,5P 8/2,5P,5,P,85,8,2,Cool,Violet,5,P
Gamblin Artist's Oil Colors,Venetian Red,8.75R 8/4,8.75R,8.75,R,8.75,8,4,Warm,Brown,8.75,R
Gamblin Artist's Oil Colors,Viridian,7.5BG 4/2,7.5BG,7.5,BG,57.5,4,2,Cool,Green,7.5,BG
Gamblin Artist's Oil Colors,Warm White,2.5Y 2/9,2.5Y,2.5,Y,22.5,2,9,Warm,White,2.5,Y
Gamblin Artist's Oil Colors,Yellow Ochre,10YR 10/5,10YR,10,YR,20,10,5,Warm,Yellow,10,YR
