Brand Name,Identifier,X,Y,Z,x,y,L*,a*,b*,C*,h
Rembrandt,"236,9",65.4335,64.1178,44.2668,0.3764,0.3689,84.0271,5.7507,28.3117,28.8899,1.3704
Rembrandt,"318,3",14.4254,10.7964,6.0485,0.4613,0.3453,39.2354,25.8489,20.9885,33.2969,0.6820
Rembrandt,"318,5",27.5432,16.8958,9.6605,0.5091,0.3123,48.1285,51.0169,23.7799,56.2868,0.4362
Rembrandt,"318,7",38.0371,25.3587,19.2611,0.4602,0.3068,57.4233,48.1508,17.3610,51.1850,0.3460
Rembrandt,"318,8",49.7627,40.6686,38.5964,0.3857,0.3152,69.9431,28.3525,10.4673,30.2230,0.3537
Rembrandt,"318,9",55.8813,47.3538,46.1284,0.3741,0.3170,74.4155,24.7921,9.7471,26.6394,0.3746
Rembrandt,"331,3",13.8497,10.3974,8.8105,0.4190,0.3145,38.5464,25.2599,9.8830,27.1244,0.3729
Rembrandt,"331,5",17.7871,10.2879,5.2036,0.5345,0.3091,38.3543,48.7357,23.1009,53.9335,0.4426
Rembrandt,"331,7",31.9751,21.8745,19.5611,0.4356,0.2980,53.8936,42.8633,10.7111,44.1814,0.2449
Rembrandt,"331,8",49.2113,38.3077,39.4862,0.3875,0.3016,68.2468,34.1860,6.4923,34.7971,0.1877
Rembrandt,"331,9",68.6231,65.8236,74.2135,0.3289,0.3155,84.9064,8.9474,2.7336,9.3557,0.2965
Rembrandt,"339,3",14.8191,13.6980,11.6000,0.3694,0.3415,43.7967,8.5678,10.8540,13.8281,0.9026
Rembrandt,"339,5",38.8086,32.7214,20.5673,0.4214,0.3553,63.9347,22.5334,26.1722,34.5360,0.8600
Rembrandt,"339,7",51.1300,46.9615,37.0937,0.3782,0.3474,74.1651,13.7737,19.5575,23.9210,0.9572
Rembrandt,"339,8",55.7028,52.5594,49.8083,0.3524,0.3325,77.6142,10.5631,11.4748,15.5965,0.8267
Rembrandt,"339,9",62.3985,61.0451,61.9660,0.3365,0.3292,82.4030,5.8891,8.4093,10.2663,0.9599
Rembrandt,"339,10",67.3349,66.8908,70.9547,0.3282,0.3260,85.4488,3.8143,6.2129,7.2904,1.0202
Rembrandt,"343,3",12.9559,9.6976,6.0566,0.4513,0.3378,37.2942,24.9311,17.6086,30.5225,0.6149
Rembrandt,"343,5",14.6903,10.6445,6.1163,0.4671,0.3384,38.9751,28.5770,20.2633,35.0321,0.6168
Rembrandt,"343,7",23.3051,18.4778,13.8156,0.4192,0.3323,50.0706,24.9081,16.1368,29.6784,0.5749
Rembrandt,"343,8",48.3511,43.2600,39.8833,0.3677,0.3290,71.7311,16.8388,12.0361,20.6981,0.6206
Rembrandt,"343,9",48.2835,43.2510,39.4835,0.3685,0.3301,71.7250,16.6810,12.4924,20.8403,0.6428
Rembrandt,"347,2",5.0502,4.4583,4.3644,0.3640,0.3214,25.1321,8.7233,4.3246,9.7365,0.4602
Rembrandt,"347,3",7.7178,6.1333,5.8270,0.3922,0.3117,29.7462,17.0816,5.5453,17.9591,0.3139
Rembrandt,"347,5",13.9464,9.9891,11.8311,0.3899,0.2793,37.8229,28.9831,-0.0544,28.9832,6.2813
Rembrandt,"347,7",28.5550,24.2594,24.1370,0.3711,0.3153,56.3466,19.5552,6.9715,20.7608,0.3425
Rembrandt,"347,9",54.2488,51.8721,57.3731,0.3318,0.3173,77.2043,8.6953,3.5326,9.3855,0.3859
Rembrandt,"370,3",14.9806,11.7094,6.6551,0.4493,0.3512,40.7505,22.6619,21.1972,31.0304,0.7520
Rembrandt,"370,5",32.1077,20.9830,7.1906,0.5326,0.3481,52.9309,47.4880,40.1949,62.2153,0.7024
Rembrandt,"370,7",36.9956,25.5679,9.0800,0.5164,0.3569,57.6246,43.9243,41.9269,60.7224,0.7621
Rembrandt,"370,9",64.6029,58.9901,50.2688,0.3716,0.3393,81.2861,15.7086,17.3452,23.4012,0.8349
Rembrandt,"371,3",11.3703,7.9299,5.6418,0.4559,0.3179,33.8364,28.9923,13.3828,31.9320,0.4325
Rembrandt,"371,5",20.2788,11.4147,4.4779,0.5606,0.3156,40.2704,53.1191,29.8527,60.9330,0.5120
Rembrandt,"371,7",32.2451,21.0433,16.1532,0.4643,0.3030,52.9968,47.6948,15.9519,50.2918,0.3228
Rembrandt,"371,8",52.9801,44.4307,45.1138,0.3717,0.3117,72.5154,25.6810,7.5505,26.7679,0.2860
Rembrandt,"371,9",61.9097,57.7076,62.8373,0.3393,0.3163,80.5759,12.6383,4.5069,13.4179,0.3425
Rembrandt,"372,2",7.0645,5.9906,4.6901,0.3981,0.3376,29.3886,12.3983,10.0467,15.9579,0.6810
Rembrandt,"372,3",9.3458,7.1765,4.5831,0.4428,0.3400,32.2053,20.5973,15.4257,25.7333,0.6428
Rembrandt,"372,5",24.5988,14.6785,5.0336,0.5551,0.3313,45.1906,51.5702,35.6653,62.7017,0.6051
Rembrandt,"372,8",48.4364,39.7735,30.0973,0.4094,0.3362,69.3079,27.5156,20.3289,34.2107,0.6363
Rembrandt,"372,9",57.8664,52.4456,45.3876,0.3717,0.3368,77.5465,16.1477,15.9319,22.6842,0.7787
Rembrandt,"372,10",66.7151,64.5208,61.7184,0.3458,0.3344,84.2362,7.6832,11.7851,14.0684,0.9931
Rembrandt,"397,3",15.9893,10.7437,15.0610,0.3826,0.2571,39.1454,35.4497,-5.5538,35.8821,6.1278
Rembrandt,"397,5",25.8831,15.9532,20.2601,0.4168,0.2569,46.9131,49.5406,-2.6167,49.6097,6.2304
Rembrandt,"397,7",31.9733,21.5607,29.4626,0.3852,0.2598,53.5577,44.3048,-5.9292,44.6998,6.1501
Rembrandt,"397,9",50.4875,42.7956,53.2882,0.3445,0.2920,71.4160,23.9308,-2.6250,24.0744,6.1739
Rembrandt,"397,10",63.8942,60.8246,68.1682,0.3313,0.3153,82.2844,9.8094,2.9950,10.2564,0.2963
Rembrandt,"408,2",5.0051,5.0977,4.7566,0.3368,0.3431,27.0114,0.0679,5.6269,5.6273,1.5587
Rembrandt,"408,3",9.1651,9.1453,7.0062,0.3620,0.3612,36.2625,1.6280,12.1346,12.2433,1.4374
Rembrandt,"408,5",12.8254,12.7347,8.1460,0.3805,0.3778,42.3608,2.2343,18.6313,18.7648,1.4514
Rembrandt,"408,7",20.5489,20.4265,13.2063,0.3793,0.3770,52.3160,2.5053,21.4671,21.6128,1.4546
Rembrandt,"408,9",32.1257,33.0099,26.8880,0.3491,0.3587,64.1689,-0.8872,16.1442,16.1685,1.6257
Rembrandt,"408,10",40.1659,41.1159,35.0180,0.3454,0.3535,70.2571,-0.4879,15.4033,15.4110,1.6025
Rembrandt,"409,3",6.1660,5.8373,5.0848,0.3608,0.3416,28.9983,4.8585,7.5115,8.9458,0.9967
Rembrandt,"409,5",9.1866,7.8936,5.9470,0.3989,0.3428,33.7603,12.5908,11.9663,17.3701,0.7600
Rembrandt,"409,7",16.0906,14.4981,9.7807,0.3986,0.3591,44.9389,11.0530,17.9222,21.0565,1.0182
Rembrandt,"409,8",34.6470,32.5364,24.5819,0.3776,0.3546,63.7838,9.5636,19.0751,21.3383,1.1061
Rembrandt,"409,9",45.3737,44.1789,35.3500,0.3633,0.3537,72.3479,5.8997,18.5881,19.5019,1.2635
Rembrandt,"409,10",57.3425,57.2871,53.9824,0.3401,0.3398,80.3408,2.8339,12.0997,12.4271,1.3407
Rembrandt,"411,3",9.5629,8.1524,5.2693,0.4161,0.3547,34.2984,13.3305,15.8121,20.6815,0.8703
Rembrandt,"411,5",21.4868,15.8017,6.4025,0.4918,0.3617,46.7132,31.1061,32.4601,44.9583,0.8067
Rembrandt,"411,7",31.4516,24.8202,10.0477,0.4742,0.3743,56.8998,28.0172,37.7586,47.0178,0.9324
Rembrandt,"411,8",40.1875,34.2599,17.4778,0.4372,0.3727,65.1684,21.5128,34.1954,40.3996,1.0092
Rembrandt,"411,9",54.6144,52.6561,39.2248,0.3728,0.3594,77.6715,7.6013,23.0488,24.2699,1.2522
Rembrandt,"411,10",62.9009,62.5227,53.9070,0.3508,0.3486,83.1906,3.6452,17.0847,17.4693,1.3606
Rembrandt,"505,3",12.8199,13.3839,25.3718,0.2486,0.2595,43.3360,-2.0048,-17.4355,17.5504,4.5979
Rembrandt,"505,5",17.1077,15.6911,58.6389,0.1871,0.1716,46.5666,9.6872,-50.4383,51.3602,4.9021
Rembrandt,"505,7",20.0867,19.3860,61.4763,0.1990,0.1920,51.1358,5.3486,-45.0738,45.3900,4.8305
Rembrandt,"505,8",38.8035,40.5815,70.2634,0.2593,0.2712,69.8817,-3.1166,-20.0771,20.3175,4.5584
Rembrandt,"505,9",58.3854,60.2324,79.1582,0.2952,0.3045,81.9643,-1.6445,-6.0605,6.2797,4.4474
Rembrandt,"505,10",66.6739,68.6651,83.6767,0.3044,0.3135,86.3380,-1.4665,-1.7875,2.3121,4.0253
Rembrandt,"506,2",5.6862,5.6922,12.5042,0.2381,0.2383,28.6222,1.1828,-17.6461,17.6857,4.7793
Rembrandt,"506,3",6.4220,6.1082,17.2545,0.2156,0.2051,29.6839,4.6172,-26.5324,26.9311,4.8847
Rembrandt,"506,5",10.5708,8.7505,41.8118,0.1729,0.1431,35.4993,15.9704,-52.6412,55.0104,5.0069
Rembrandt,"506,7",25.9531,24.0647,66.9272,0.2219,0.2058,56.1525,10.0042,-41.0436,42.2453,4.9515
Rembrandt,"506,9",50.4750,52.1071,72.3825,0.2885,0.2978,77.3448,-1.6575,-8.8834,9.0367,4.5279
Rembrandt,"508,2",2.9852,3.0701,6.4699,0.2383,0.2451,20.3226,-0.4489,-13.3054,13.3130,4.6787
Rembrandt,"508,3",3.6945,3.6109,10.1328,0.2119,0.2071,22.3410,2.3481,-22.0729,22.1975,4.8184
Rembrandt,"508,5",4.6150,4.3228,14.4289,0.1975,0.1850,24.7111,5.0341,-29.0124,29.4459,4.8842
Rembrandt,"508,7",9.8416,10.0377,30.0720,0.1970,0.2010,37.9101,-0.0227,-33.7697,33.7697,4.7117
Rembrandt,"508,8",23.0586,25.2973,51.7608,0.2303,0.2527,57.3639,-7.6245,-25.3734,26.4942,4.4205
Rembrandt,"522,2",6.8651,7.8505,12.8498,0.2490,0.2848,33.6695,-8.0303,-9.8072,12.6754,4.0263
Rembrandt,"522,3",8.6016,10.8726,22.0276,0.2073,0.2620,39.3651,-16.4942,-18.7713,24.9884,3.9915
Rembrandt,"522,5",16.5326,21.1536,46.0554,0.1974,0.2526,53.1172,-21.7141,-26.8970,34.5681,4.0332
Rembrandt,"522,8",33.6960,41.2719,65.5433,0.2398,0.2937,70.3660,-22.0719,-15.3894,26.9073,3.7505
Rembrandt,"522,10",53.1277,59.3369,77.7747,0.2793,0.3119,81.4765,-12.5664,-5.8764,13.8725,3.5790
Rembrandt,"536,2",6.0457,5.4031,9.2066,0.2927,0.2616,27.8537,8.4907,-9.7956,12.9632,5.4265
Rembrandt,"536,3",11.4923,9.2885,18.9991,0.2889,0.2335,36.5340,18.2334,-18.1575,25.7323,5.4999
Rembrandt,"536,5",12.0325,8.4812,21.0650,0.2894,0.2040,34.9657,28.7686,-24.6677,37.8963,5.5744
Rembrandt,"536,7",27.6335,20.9124,41.1159,0.3082,0.2332,52.8535,31.0078,-21.9311,37.9797,5.6676
Rembrandt,"536,9",52.5112,50.5432,61.5660,0.3190,0.3070,76.4015,7.7258,-1.5904,7.8878,6.0802
Rembrandt,"538,3",5.4429,4.8955,4.6884,0.3622,0.3258,26.4349,7.8098,4.9624,9.2530,0.5660
Rembrandt,"538,5",6.1681,5.1825,4.2711,0.3948,0.3318,27.2485,12.4223,8.4518,15.0249,0.5974
Rembrandt,"538,7",15.9400,13.8804,13.2789,0.3698,0.3221,44.0610,13.9805,7.0582,15.6612,0.4675
Rembrandt,"538,8",26.0214,24.0012,25.0486,0.3466,0.3197,56.0890,10.5593,5.0630,11.7104,0.4471
Rembrandt,"538,9",37.0805,35.2173,39.8629,0.3306,0.3140,65.9175,8.4551,2.0365,8.6969,0.2364
Rembrandt,"538,10",52.2142,51.9391,59.9848,0.3181,0.3164,77.2444,3.3257,1.2523,3.5537,0.3601
Rembrandt,"545,2",7.4723,6.5232,8.9757,0.3253,0.2840,30.6958,10.6919,-4.1753,11.4782,5.9109
